location,source,target,ID,fuzzy,context,translator_comments,developer_comments
,1,"The Shawshank Redemption (1994)",1,,,,
,2,"The Godfather (1972)",2,,,,
,3,"The Godfather: Part II (1974)",3,,,,
,4,"The Dark Knight (2008)",4,,,,
,5,"12 Angry Men (1957)",5,,,,
,6,"Schindler's List (1993)",6,,,,
,7,"The Lord of the Rings: The Return of the King (2003)",7,,,,
,8,"Pulp Fiction (1994)",8,,,,
,9,"The Good, the Bad and the Ugly (1966)",9,,,,
,10,"The Lord of the Rings: The Fellowship of the Ring (2001)",10,,,,
,11,"Fight Club (1999)",11,,,,
,12,"Forrest Gump (1994)",12,,,,
,13,"Inception (2010)",13,,,,
,14,"Star Wars: Episode V - The Empire Strikes Back (1980)",14,,,,
,15,"The Lord of the Rings: The Two Towers (2002)",15,,,,
,16,"The Matrix (1999)",16,,,,
,17,"Goodfellas (1990)",17,,,,
,18,"One Flew Over the Cuckoo's Nest (1975)",18,,,,
,19,"Seven Samurai (1954)",19,,,,
,20,"Se7en (1995)",20,,,,
